FolderPath,PrefabName,InitPos,InitRot,GameObjectName,IntTL,SyncedTL
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,1050.994253/13.324436/-5275.364160,0.0/187.957991/0.0,C119AS301039,IC000052,SSN000167
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,1051.215271/15.451809/-5267.686755,0.0/269.545077/0.0,C119AS300985,IC000052,SSN001929
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,1008.741107/13.105923/-5272.372221,0.0/5.131317/0.0,C119AS301040,IC000052,SSN001763
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,1009.310142/13.032855/-5272.919403,0.0/269.545077/0.0,C119AS301041,IC000052,SSN001929
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,1010.405382/15.183556/-5262.782971,0.0/269.545077/0.0,C119AS300986,IC000052,SSN001929
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,1009.866359/15.210469/-5266.645851,0.0/269.545077/0.0,C119AS300987,IC000052,SSN001929
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,850.268859/6.808430/-4202.135106,0.0/166.386815/0.0,C119AS301043,IC000391,SSN001547
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,851.662620/9.145308/-4207.615277,0.0/82.315855/0.0,C119AS300988,IC000391,SSN001724
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,852.262470/9.125128/-4211.576960,0.0/82.315855/0.0,C119AS300989,IC000391,SSN001724
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,857.157180/9.286574/-4221.135484,0.0/267.666923/0.0,C119AS300990,IC000391,SSN001902
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,857.823210/6.853169/-4226.779821,0.0/166.386815/0.0,C119AS301044,IC000391,SSN001547
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,821.579354/5.626855/-3777.273996,0.0/20.795746/0.0,C119AS301046,IC000002,SSN000000
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,1110.139899/4.358482/-3093.103491,0.0/27.566682/0.0,C119AS301049,IC000009,SSN000090
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,1111.599442/6.820919/-3087.738235,0.0/291.918847/0.0,C119AS300993,IC000009,SSN000104
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,1113.107774/6.788464/-3084.057008,0.0/291.918847/0.0,C119AS300994,IC000009,SSN000104
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hot_R_Y_G_Bus.prefab,915.378909/7.510792/-3538.515614,0.0/291.608072/0.0,C119AS300886,IC000000,SSN000014
