FolderPath,PrefabName,InitPos,InitRot,GameObjectName
3Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,1317.5632869000376/2.7671026086291692/-2358.5533419175713,0.0/354.294605/0.0,B319AS300792
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,1220.6022886045484/1.0323537682990618/-2917.261471656805,0.0/199.065998/0.0,B319AS300791
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5431.fbx,1228.4397825011713/1.0173524713058917/-2898.278927710114,0.0/199.065998/0.0,B319AS300790
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1306.8500379352697/1.775603661486222/-2616.846066360752,0.0/186.400053/0.0,B319AS300789
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1303.693292024718/1.7098535394147298/-2616.370846636107,0.0/186.402343/0.0,B319AS300788
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1306.823785188353/1.773352990097376/-2588.75341499353,0.0/186.402343/0.0,B319AS300787
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1309.982537629375/1.8486017083572903/-2589.013668897743,0.0/186.400053/0.0,B319AS300786
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1309.7560361650899/1.9131044244345998/-2557.6441620628357,0.0/180.807761/0.0,B319AS300785
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,1312.9455350660178/1.998101601549508/-2557.9140595245613,0.0/180.840133/0.0,B319AS300784
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5391.fbx,1318.3122838762417/2.6996034478632733/-2379.517941361071,0.0/349.787072/0.0,B319AS300783
